Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Laser-Assisted In Situ Keratomileusis (LASIK);Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss ; Suprachoroidal hemorrhage ; Inadvertent globe perforation";"Endophthalmitis (intraocular infection) ; Acute post-op intraocular pressure (IOP) spike ; Corneal edema or epithelial defect ; Retinal detachment";"Posterior capsular opacification (PCO / secondary cataract) ; Chronic glaucoma or persistent macular edema ; Refractive surprise or persistent dry eye syndrome"
Small Incision Lenticule Extraction (SMILE);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Phakic Intraocular Lens Implantation (ICL);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Strabismus Surgery - Recession;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss ; Suprachoroidal hemorrhage ; Inadvertent globe perforation";"Endophthalmitis (intraocular infection) ; Acute post-op intraocular pressure (IOP) spike ; Corneal edema or epithelial defect ; Retinal detachment";"Posterior capsular opacification (PCO / secondary cataract) ; Chronic glaucoma or persistent macular edema ; Refractive surprise or persistent dry eye syndrome"
Strabismus Surgery - Resection;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss ; Suprachoroidal hemorrhage ; Inadvertent globe perforation";"Endophthalmitis (intraocular infection) ; Acute post-op intraocular pressure (IOP) spike ; Corneal edema or epithelial defect ; Retinal detachment";"Posterior capsular opacification (PCO / secondary cataract) ; Chronic glaucoma or persistent macular edema ; Refractive surprise or persistent dry eye syndrome"
Strabismus Surgery - Adjustable Sutures;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss ; Suprachoroidal hemorrhage ; Inadvertent globe perforation";"Endophthalmitis (intraocular infection) ; Acute post-op intraocular pressure (IOP) spike ; Corneal edema or epithelial defect ; Retinal detachment";"Posterior capsular opacification (PCO / secondary cataract) ; Chronic glaucoma or persistent macular edema ; Refractive surprise or persistent dry eye syndrome"
Naso-Lachrymal Duct Probing and Syringing;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Dacryocystorhinostomy (DCR - External);Ophthalmology & Ocular Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Ectropion Repair (Lateral Tarsal Strip);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Entropion Repair;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Ptosis Repair (Levator Resection / Frontalis Sling);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Blepharoplasty (Upper / Lower Eyelid);Ophthalmology & Ocular Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Excision of Chalazion / Stye;Ophthalmology & Ocular Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Evisceration of the Eye;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Enucleation of the Eye;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss ; Suprachoroidal hemorrhage ; Inadvertent globe perforation";"Endophthalmitis (intraocular infection) ; Acute post-op intraocular pressure (IOP) spike ; Corneal edema or epithelial defect ; Retinal detachment";"Posterior capsular opacification (PCO / secondary cataract) ; Chronic glaucoma or persistent macular edema ; Refractive surprise or persistent dry eye syndrome"
Exenteration of the Orbit;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Orbital Decompression Surgery (Graves' Disease);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Orbital Floor Fracture Repair (Mesh Placement);Ophthalmology & Ocular Surgery;"Inadvertent intraoperative fracture or cortical perforation ; Nerve injury (peroneal, sciatic, radial, or axillary nerve) ; Vascular injury (popliteal or femoral vessels)";"Deep vein thrombosis (DVT) or fatal pulmonary embolism (PE) ; Prosthetic joint infection (PJI) or surgical site infection ; Joint dislocation or instability ; Wound healing complications / hematoma";"Aseptic prosthetic loosening or osteolysis ; Periprosthetic fracture ; Heterotopic ossification ; Chronic joint stiffness or pain"
Resection of Ocular Surface Squamous Neoplasia (OSSN);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage ; Capsular rupture / lens dislocation ; Anesthetic block injury";"Endophthalmitis / intraocular infection ; Intraocular pressure spike ; Corneal swelling / inflammation";"Chronic glaucoma ; Retinal detachment ; Secondary opacification"
Rhinoplasty (Open Approach);Plastic, Reconstructive & Aesthetic Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Rhinoplasty (Closed Approach);Plastic, Reconstructive & Aesthetic Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Revision Rhinoplasty;Plastic, Reconstructive & Aesthetic Surgery;"Recurrent laryngeal nerve injury (vocal cord paralysis) ; Superior laryngeal nerve injury ; Carotid artery or internal jugular vein injury ; Pneumothorax";"Post-thyroidectomy neck hematoma / acute airway compromise ; Transient or permanent hypocalcemia (parathyroid injury) ; Post-tonsillectomy hemorrhage ; CSF leak (nasal/otologic)";"Permanent hypoparathyroidism requiring lifelong calcium/vitamin D ; Permanent vocal cord paralysis / hoarseness ; Keloid / scar hypertrophy ; Nasal septum perforation or saddle nose deformity"
Blepharoplasty (Upper Eyelid);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Blepharoplasty (Lower Eyelid Transconjunctival);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Blepharoplasty (Lower Eyelid Transcutaneous);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Rhytidectomy (Full Facelift - SMAS Technique);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Deep Plane Facelift;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Mini Facelift / Short-Scar Facelift;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Brow Lift (Endoscopic);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Brow Lift (Coronal / Temporal);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Neck Lift (Platysmaplasty);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Mentoplasty / Genioplasty (Augmentation / Reduction);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Otoplasty (Ear Pinning);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Ear Reconstruction (Microtia / Rib Cartilage Flap);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Split Earlobe Repair;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Breast Augmentation (Submuscular / Subglandular);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Breast Augmentation with Fat Transfer;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Breast Reduction (Vertical Scar / Anchor Technique);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Mastopexy (Breast Lift);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Breast Reconstruction with TRAM Flap;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Breast Reconstruction with DIEP Flap;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Breast Reconstruction with Latissimus Dorsi Flap;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Breast Reconstruction with Tissue Expander / Implant;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Nipple-Areola Reconstruction;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Gynecomastia Excision / Mastectomy (Male);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Abdominoplasty (Full Tummy Tuck);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Mini Abdominoplasty;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Extended Abdominoplasty / Belt Lipectomy;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Circumferential Body Lift;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Liposuction (Tumescent);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Liposuction (Ultrasound-Assisted - VASER);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Liposuction (Power-Assisted);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Brachioplasty (Arm Lift);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Thighplasty (Thigh Lift);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Gluteal Augmentation (Brazilian Butt Lift - BBL);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Gluteal Implantation;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Panniculectomy;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Massive Weight Loss Body Contouring;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Labiaplasty (Cosmetic);Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Monsplasty;Plastic, Reconstructive & Aesthetic Surgery;"Intraoperative bleeding / hematoma formation ; Inadvertent localized tissue injury ; Local or general anesthetic toxicity/reaction";"Surgical site infection or abscess ; Wound dehiscence or delayed healing ; Localized hematoma or seroma";"Hypertrophic scar / keloid formation ; Lesion or condition recurrence ; Chronic localized numbness or paresthesia"
Split-Thickness Skin Graft (STSG);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Full-Thickness Skin Graft (FTSG);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Local Cutaneous Flap (Transposition / Rotation / Advancement);Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Pedicled Flap Reconstruction;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Microvascular Free Tissue Transfer (Free Flap);Plastic, Reconstructive & Aesthetic Surgery;"Arterial rupture or dissection ; Distal atheroembolization (trash foot / blue toe syndrome) ; Vascular access site disruption or severe hematoma";"Graft thrombosis or acute limb ischemia ; Contrast-induced nephropathy ; Groin pseudoaneurysm or seroma ; Cranial nerve injury (for carotid procedures)";"Graft infection or aortoenteric fistula ; Restenosis or neointimal hyperplasia ; Endoleak (Type I-IV for EVAR/TEVAR) ; Chronic limb ischemia recurrence"
Anterolateral Thigh (ALT) Free Flap;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
Radial Forearm Free Flap;Plastic, Reconstructive & Aesthetic Surgery;"Local anesthetic toxicity / allergic reaction ; Inadvertent deep fascial or muscle layer injury ; Failure to excise full lesion capsule";"Surgical site infection or localized abscess ; Hematoma or seroma requiring aspiration ; Skin flap necrosis or graft failure ; Wound dehiscence";"Lesion recurrence (if capsule retained) ; Hypertrophic scar / keloid formation ; Chronic localized paresthesia or neuropathic pain ; Asymmetry or cosmetic dissatisfaction"
