Procedure;Specialty;Immediate / Intraoperative Complications;Early Post-Operative Complications;Late Post-Operative Complications
Argon Laser Trabeculoplasty (ALT);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Laser Peripheral Iridotomy (LPI);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Cyclophotocoagulation (Transscleral / Endoscopic);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Pars Plana Vitrectomy (PPV - 23G / 25G / 27G);Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Vitrectomy for Epiretinal Membrane Peel;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Vitrectomy for Macular Hole Repair;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Vitrectomy for Vitreous Hemorrhage;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Scleral Buckling for Retinal Detachment;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Pneumatic Retinopexy;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Panretinal Photocoagulation (PRP Laser);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Focal Laser Photocoagulation;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Intraocular Injection of Anti-VEGF (Avastin / Lucentis / Eylea);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Intravitreal Corticosteroid Steroid Implant (Ozurdex / Iluvien);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Penetrating Keratoplasty (PK / Full-Thickness Corneal Transplant);Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Deep Anterior Lamellar Keratoplasty (DALK);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Descemet Stripping Automated Endothelial Keratoplasty (DSAEK);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Descemet Membrane Endothelial Keratoplasty (DMEK);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Pterygium Excision with Conjunctival Autograft;Ophthalmology & Ocular Surgery;"Local anesthetic toxicity / allergic reaction; Inadvertent deep fascial or muscle layer injury (Common post-surgical side effect); Failure to excise full lesion capsule (Common post-surgical side effect); Bleeding at the Excision Site (Excessive bleeding during removal); Nerve Irritation (Temporary numbness near the excision site)";"Surgical site infection or localized abscess (Bacterial, viral, or fungal infection at the surgical site); Hematoma or seroma requiring aspiration (Collection of blood causing swelling); Skin flap necrosis or graft failure (Skin complications); Wound dehiscence (Healing complications at the surgical site); Bruising (Discoloration of the skin around the surgical site)";"Lesion recurrence (if capsule retained); Hypertrophic scar / keloid formation; Chronic localized paresthesia or neuropathic pain (Post-operative soreness or discomfort as tissues heal); Asymmetry or cosmetic dissatisfaction (Common post-surgical side effect); Contour Irregularity (A visible dip or unevenness in the skin where the lesion was removed)"
Corneal Cross-Linking (CXL) for Keratoconus;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Photorefractive Keratectomy (PRK);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Laser-Assisted In Situ Keratomileusis (LASIK);Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Small Incision Lenticule Extraction (SMILE);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Phakic Intraocular Lens Implantation (ICL);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Strabismus Surgery - Recession;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Strabismus Surgery - Resection;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Strabismus Surgery - Adjustable Sutures;Ophthalmology & Ocular Surgery;"Posterior capsular rupture / vitreous loss; Suprachoroidal hemorrhage (Excessive or unexpected bleeding during the procedure); Inadvertent globe perforation (Accidental hole or tear in an organ or tissue); Bleeding from the Prostate Bed (Excessive bleeding during tissue removal); Urethral Injury (Accidental damage to the urethra during instrument passage)";"Endophthalmitis (intraocular infection); Acute post-op intraocular pressure (IOP) spike; Corneal edema or epithelial defect (Swelling due to fluid accumulation); Retinal detachment (Potential complication during recovery); Urinary Retention (Temporary difficulty emptying the bladder after surgery)";"Posterior capsular opacification (PCO / secondary cataract); Chronic glaucoma or persistent macular edema (Swelling due to fluid accumulation); Refractive surprise or persistent dry eye syndrome (Eye complications); Urethral Stricture (Narrowing of the urine tube causing difficulty urinating); Retrograde Ejaculation (Semen entering the bladder instead of exiting during climax)"
Naso-Lachrymal Duct Probing and Syringing;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Dacryocystorhinostomy (DCR - External);Ophthalmology & Ocular Surgery;"Local anesthetic toxicity / allergic reaction; Inadvertent deep fascial or muscle layer injury (Common post-surgical side effect); Failure to excise full lesion capsule (Common post-surgical side effect); Bleeding at the Excision Site (Excessive bleeding during removal); Nerve Irritation (Temporary numbness near the excision site)";"Surgical site infection or localized abscess (Bacterial, viral, or fungal infection at the surgical site); Hematoma or seroma requiring aspiration (Collection of blood causing swelling); Skin flap necrosis or graft failure (Skin complications); Wound dehiscence (Healing complications at the surgical site); Bruising (Discoloration of the skin around the surgical site)";"Lesion recurrence (if capsule retained); Hypertrophic scar / keloid formation; Chronic localized paresthesia or neuropathic pain (Post-operative soreness or discomfort as tissues heal); Asymmetry or cosmetic dissatisfaction (Common post-surgical side effect); Contour Irregularity (A visible dip or unevenness in the skin where the lesion was removed)"
Ectropion Repair (Lateral Tarsal Strip);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Entropion Repair;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Ptosis Repair (Levator Resection / Frontalis Sling);Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
Blepharoplasty (Upper / Lower Eyelid);Ophthalmology & Ocular Surgery;"Local anesthetic toxicity / allergic reaction; Inadvertent deep fascial or muscle layer injury (Common post-surgical side effect); Failure to excise full lesion capsule (Common post-surgical side effect); Bleeding at the Excision Site (Excessive bleeding during removal); Nerve Irritation (Temporary numbness near the excision site)";"Surgical site infection or localized abscess (Bacterial, viral, or fungal infection at the surgical site); Hematoma or seroma requiring aspiration (Collection of blood causing swelling); Skin flap necrosis or graft failure (Skin complications); Wound dehiscence (Healing complications at the surgical site); Bruising (Discoloration of the skin around the surgical site)";"Lesion recurrence (if capsule retained); Hypertrophic scar / keloid formation; Chronic localized paresthesia or neuropathic pain (Post-operative soreness or discomfort as tissues heal); Asymmetry or cosmetic dissatisfaction (Common post-surgical side effect); Contour Irregularity (A visible dip or unevenness in the skin where the lesion was removed)"
Excision of Chalazion / Stye;Ophthalmology & Ocular Surgery;"Local anesthetic toxicity / allergic reaction; Inadvertent deep fascial or muscle layer injury (Common post-surgical side effect); Failure to excise full lesion capsule (Common post-surgical side effect); Bleeding at the Excision Site (Excessive bleeding during removal); Nerve Irritation (Temporary numbness near the excision site)";"Surgical site infection or localized abscess (Bacterial, viral, or fungal infection at the surgical site); Hematoma or seroma requiring aspiration (Collection of blood causing swelling); Skin flap necrosis or graft failure (Skin complications); Wound dehiscence (Healing complications at the surgical site); Bruising (Discoloration of the skin around the surgical site)";"Lesion recurrence (if capsule retained); Hypertrophic scar / keloid formation; Chronic localized paresthesia or neuropathic pain (Post-operative soreness or discomfort as tissues heal); Asymmetry or cosmetic dissatisfaction (Common post-surgical side effect); Contour Irregularity (A visible dip or unevenness in the skin where the lesion was removed)"
Evisceration of the Eye;Ophthalmology & Ocular Surgery;"Intraocular tissue laceration / hemorrhage; Capsular rupture / lens dislocation; Anesthetic block injury (Reaction to anesthesia or numbing medication); Iris Trauma (Accidental irritation or tearing of the iris tissue); Zonule Damage (Weakening of the fibers that hold the lens in place)";"Endophthalmitis / intraocular infection; Intraocular pressure spike (Surgical risk that may need intervention); Corneal swelling / inflammation; Dry Eye (Temporary or persistent dryness in the eye); Light Sensitivity (Increased sensitivity to bright light after surgery)";"Chronic glaucoma (Long-lasting or persistent symptoms); Retinal detachment (Potential complication during recovery); Secondary opacification (Potential complication during recovery); Dysphotopsia (Persistent glare, halos, or streaks of light in vision); Late Intraocular Lens Dislocation (The artificial lens shifts out of position over time)"
